date,nav,source,daily_growth_pct,acc_nav
2020-03-11,2.0535,akshare_fund_open_fund_info_em,-0.8785,2.1035
2020-03-12,2.0195,akshare_fund_open_fund_info_em,-1.6557,2.0695
2020-03-13,2.0033,akshare_fund_open_fund_info_em,-0.8022,2.0533
2020-03-16,1.9473,akshare_fund_open_fund_info_em,-2.7954,1.9973
2020-03-17,1.9489,akshare_fund_open_fund_info_em,0.0822,1.9989
2020-03-18,1.931,akshare_fund_open_fund_info_em,-0.9185,1.981
2020-03-19,1.939,akshare_fund_open_fund_info_em,0.4143,1.989
2020-03-20,1.973,akshare_fund_open_fund_info_em,1.7535,2.023
2020-03-23,1.9147,akshare_fund_open_fund_info_em,-2.9549,1.9647
2020-03-24,1.9473,akshare_fund_open_fund_info_em,1.7026,1.9973
2020-03-25,2.0002,akshare_fund_open_fund_info_em,2.7166,2.0502
2020-03-26,1.9937,akshare_fund_open_fund_info_em,-0.325,2.0437
2020-03-27,1.9922,akshare_fund_open_fund_info_em,-0.0752,2.0422
2020-03-30,1.9601,akshare_fund_open_fund_info_em,-1.6113,2.0101
2020-03-31,1.9817,akshare_fund_open_fund_info_em,1.102,2.0317
2020-04-01,1.9694,akshare_fund_open_fund_info_em,-0.6207,2.0194
2020-04-02,2.0003,akshare_fund_open_fund_info_em,1.569,2.0503
2020-04-03,1.9978,akshare_fund_open_fund_info_em,-0.125,2.0478
2020-04-07,2.0455,akshare_fund_open_fund_info_em,2.3876,2.0955
2020-04-08,2.0321,akshare_fund_open_fund_info_em,-0.6551,2.0821
2020-04-09,2.0654,akshare_fund_open_fund_info_em,1.6387,2.1154
2020-04-10,2.0393,akshare_fund_open_fund_info_em,-1.2637,2.0893
2020-04-13,2.0309,akshare_fund_open_fund_info_em,-0.4119,2.0809
2020-04-14,2.0882,akshare_fund_open_fund_info_em,2.8214,2.1382
2020-04-15,2.0861,akshare_fund_open_fund_info_em,-0.1006,2.1361
2020-04-16,2.0997,akshare_fund_open_fund_info_em,0.6519,2.1497
2020-04-17,2.11,akshare_fund_open_fund_info_em,0.4905,2.16
2020-04-20,2.1231,akshare_fund_open_fund_info_em,0.6209,2.1731
2020-04-21,2.1002,akshare_fund_open_fund_info_em,-1.0786,2.1502
2020-04-22,2.1268,akshare_fund_open_fund_info_em,1.2665,2.1768
2020-04-23,2.1248,akshare_fund_open_fund_info_em,-0.094,2.1748
2020-04-24,2.101,akshare_fund_open_fund_info_em,-1.1201,2.151
2020-04-27,2.1409,akshare_fund_open_fund_info_em,1.8991,2.1909
2020-04-28,2.1607,akshare_fund_open_fund_info_em,0.9248,2.2107
2020-04-29,2.1552,akshare_fund_open_fund_info_em,-0.2545,2.2052
2020-04-30,2.1686,akshare_fund_open_fund_info_em,0.6218,2.2186
2020-05-06,2.1965,akshare_fund_open_fund_info_em,1.2865,2.2465
2020-05-07,2.2009,akshare_fund_open_fund_info_em,0.2003,2.2509
2020-05-08,2.2123,akshare_fund_open_fund_info_em,0.518,2.2623
2020-05-11,2.191,akshare_fund_open_fund_info_em,-0.9628,2.241
2020-05-12,2.2059,akshare_fund_open_fund_info_em,0.6801,2.2559
2020-05-13,2.219,akshare_fund_open_fund_info_em,0.5939,2.269
2020-05-14,2.2004,akshare_fund_open_fund_info_em,-0.8382,2.2504
2020-05-15,2.1999,akshare_fund_open_fund_info_em,-0.0227,2.2499
2020-05-18,2.2087,akshare_fund_open_fund_info_em,0.4,2.2587
2020-05-19,2.2365,akshare_fund_open_fund_info_em,1.2587,2.2865
2020-05-20,2.2158,akshare_fund_open_fund_info_em,-0.9256,2.2658
2020-05-21,2.1957,akshare_fund_open_fund_info_em,-0.9071,2.2457
2020-05-22,2.1562,akshare_fund_open_fund_info_em,-1.799,2.2062
2020-05-25,2.1606,akshare_fund_open_fund_info_em,0.2041,2.2106
2020-05-26,2.1918,akshare_fund_open_fund_info_em,1.444,2.2418
2020-05-27,2.1591,akshare_fund_open_fund_info_em,-1.4919,2.2091
2020-05-28,2.1577,akshare_fund_open_fund_info_em,-0.0648,2.2077
2020-05-29,2.1956,akshare_fund_open_fund_info_em,1.7565,2.2456
2020-06-01,2.2504,akshare_fund_open_fund_info_em,2.4959,2.3004
2020-06-02,2.2541,akshare_fund_open_fund_info_em,0.1644,2.3041
2020-06-03,2.2502,akshare_fund_open_fund_info_em,-0.173,2.3002
2020-06-04,2.2599,akshare_fund_open_fund_info_em,0.4311,2.3099
